param wind_avail : A	B	C	D	E	F	G	H	I	J	K :=
142	0.618	0.946	0.952	0.995	0.976	0.0	0.0	0.0	0.0	1.0	1.0
143	0.274	0.864	0.917	0.956	0.858	0.0	0.0	0.0	0.0	1.0	1.0
144	0.224	0.754	0.908	0.964	0.774	0.0	0.0	0.0	0.0	1.0	1.0
145	0.138	0.626	0.837	0.903	0.568	0.0	0.0	0.0	0.0	1.0	1.0
146	0.165	0.423	0.781	0.895	0.453	0.0	0.0	0.0	0.0	1.0	1.0
147	0.099	0.338	0.777	0.779	0.23	0.0	0.0	0.0	0.0	0.976	0.998
148	0.113	0.257	0.427	0.72	0.067	0.0	0.0	0.0	0.0	0.942	1.0
149	0.431	0.212	0.125	0.705	0.001	0.0	0.0	0.0	0.0	0.905	1.0
150	0.539	0.271	0.057	0.741	0.023	0.0	0.0	0.0	0.0	0.815	0.997
151	0.779	0.583	0.035	0.796	0.186	0.0	0.0	0.0	0.0	0.69	0.982
152	0.962	0.671	0.067	0.733	0.648	0.0	0.0	0.0	0.0	0.495	0.969
153	0.978	0.807	0.104	0.753	0.681	0.0	0.0	0.0	0.0	0.419	0.904
154	0.992	0.806	0.15	0.821	0.78	0.0	0.0	0.0	0.0	0.358	0.761
155	0.996	0.749	0.039	0.802	0.76	0.0	0.0	0.0	0.0	0.238	0.472
156	0.989	0.393	0.127	0.561	0.644	0.0	0.0	0.0	0.0	0.071	0.348
157	0.977	0.426	0.099	0.437	0.593	0.0	0.0	0.0	0.0	0.013	0.21
158	0.993	0.813	0.19	0.28	0.583	0.0	0.0	0.0	0.0	0.017	0.195
159	0.996	0.86	0.236	0.179	0.935	0.0	0.0	0.0	0.0	0.017	0.195
160	0.998	0.859	0.46	0.191	0.996	0.0	0.0	0.0	0.0	0.176	0.305
161	0.999	0.931	0.436	0.346	0.999	0.0	0.0	0.0	0.0	0.286	0.34
162	1.0	0.994	0.516	0.442	1.0	0.0	0.0	0.0	0.0	0.411	0.442
163	1.0	0.986	0.967	0.846	1.0	0.0	0.0	0.0	0.0	0.517	0.72
164	1.0	0.999	0.821	0.977	1.0	0.0	0.0	0.0	0.0	0.769	0.809
165	1.0	0.998	0.871	0.972	1.0	0.0	0.0	0.0	0.0	0.915	0.946
166	1.0	0.999	0.49	0.967	1.0	0.0	0.0	0.0	0.0	0.959	1.0
