param solar_avail : A	B	C	D	E	F	G	H	I	J	K :=
183	0.19	0.154	0.14	0.183	0.206	0.102	0.178	0.147	0.147	0.147	0.147
184	0.111	0.089	0.152	0.054	0.072	0.051	0.072	0.059	0.059	0.059	0.059
185	0.03	0.025	0.019	0.013	0.019	0.021	0.026	0.021	0.021	0.021	0.021
186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201	0.005	0.005	0.008	0.013	0.017	0.016	0.068	0.068	0.068	0.068	0.068
202	0.048	0.051	0.057	0.073	0.145	0.089	0.22	0.219	0.219	0.219	0.219
203	0.091	0.07	0.105	0.138	0.174	0.188	0.355	0.354	0.354	0.354	0.354
204	0.072	0.116	0.133	0.181	0.228	0.168	0.408	0.444	0.444	0.444	0.444
205	0.089	0.194	0.207	0.08	0.114	0.161	0.306	0.472	0.472	0.472	0.472
206	0.116	0.161	0.144	0.154	0.156	0.174	0.274	0.427	0.427	0.427	0.427
207	0.219	0.108	0.114	0.116	0.132	0.123	0.342	0.362	0.362	0.362	0.362
208	0.162	0.074	0.067	0.068	0.057	0.056	0.17	0.234	0.234	0.234	0.234
209	0.052	0.065	0.036	0.023	0.034	0.021	0.032	0.084	0.084	0.084	0.084
210	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
225	0.009	0.011	0.013	0.02	0.021	0.059	0.07	0.07	0.07	0.07	0.07
226	0.138	0.11	0.116	0.151	0.147	0.201	0.221	0.218	0.218	0.218	0.218
227	0.288	0.291	0.263	0.263	0.294	0.331	0.352	0.346	0.346	0.346	0.346
228	0.391	0.364	0.393	0.328	0.373	0.402	0.438	0.417	0.417	0.417	0.417
229	0.405	0.443	0.393	0.377	0.424	0.354	0.461	0.443	0.443	0.443	0.443
230	0.315	0.407	0.429	0.348	0.402	0.415	0.405	0.434	0.434	0.434	0.434
231	0.14	0.243	0.336	0.301	0.289	0.331	0.352	0.356	0.356	0.356	0.356
232	0.094	0.127	0.186	0.132	0.091	0.204	0.224	0.229	0.229	0.229	0.229
233	0.033	0.037	0.045	0.028	0.027	0.056	0.076	0.081	0.081	0.081	0.081
234	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
249	0.007	0.012	0.015	0.012	0.012	0.016	0.022	0.047	0.047	0.047	0.047
250	0.048	0.072	0.087	0.039	0.049	0.094	0.063	0.056	0.056	0.056	0.056
251	0.133	0.128	0.224	0.079	0.082	0.057	0.121	0.091	0.091	0.091	0.091
252	0.101	0.16	0.283	0.113	0.15	0.228	0.158	0.138	0.138	0.138	0.138
253	0.315	0.236	0.157	0.144	0.164	0.326	0.123	0.174	0.174	0.174	0.174
254	0.375	0.302	0.144	0.133	0.146	0.308	0.164	0.092	0.092	0.092	0.092
255	0.284	0.265	0.247	0.139	0.153	0.242	0.046	0.105	0.105	0.105	0.105
256	0.153	0.165	0.175	0.05	0.076	0.107	0.149	0.141	0.141	0.141	0.141
257	0.034	0.05	0.054	0.016	0.034	0.036	0.04	0.042	0.042	0.042	0.042
258	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
273	0.005	0.007	0.007	0.008	0.011	0.012	0.011	0.01	0.01	0.01	0.01
274	0.048	0.014	0.059	0.037	0.038	0.031	0.057	0.045	0.045	0.045	0.045
275	0.072	0.078	0.192	0.1	0.128	0.096	0.211	0.112	0.112	0.112	0.112
276	0.116	0.104	0.179	0.186	0.258	0.216	0.251	0.116	0.116	0.116	0.116
277	0.093	0.097	0.095	0.218	0.232	0.056	0.247	0.143	0.143	0.143	0.143
278	0.127	0.091	0.115	0.09	0.109	0.072	0.243	0.13	0.13	0.13	0.13
279	0.201	0.099	0.075	0.06	0.117	0.137	0.141	0.073	0.073	0.073	0.073
280	0.079	0.117	0.041	0.032	0.044	0.035	0.045	0.041	0.041	0.041	0.041
281	0.026	0.029	0.025	0.017	0.025	0.012	0.016	0.015	0.015	0.015	0.015
282	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
