param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
98	3624.42	2251.99	3995.45	1270.5	1933.34	2860.83	2309.26	657.74	1302.37	11562.71	4688.47
99	3681.35	2296.17	4071.3	1299.59	1971.09	2921.85	2353.87	672.1	1321.21	11709.58	4763.58
100	3766.83	2358.87	4181.04	1332.09	2017.29	3001.66	2424.46	689.59	1356.09	11983.44	4882.81
101	3898.46	2445.67	4332.0	1373.46	2091.78	3104.95	2503.89	719.26	1402.68	12358.14	5065.72
102	4085.91	2580.03	4566.24	1433.27	2220.72	3270.01	2636.9	763.88	1486.97	12994.47	5337.06
103	4288.15	2727.19	4793.11	1482.12	2355.88	3464.12	2784.95	817.32	1595.78	13739.91	5635.8
104	4459.3	2843.23	4936.64	1513.45	2447.15	3626.39	2905.42	854.34	1681.85	14463.31	5877.97
105	4547.05	2903.87	5036.16	1530.84	2510.9	3701.7	2983.47	869.63	1726.9	14973.81	6035.82
106	4539.91	2917.84	5032.98	1519.56	2507.18	3664.43	2968.7	864.23	1724.7	15135.77	6056.4
107	4514.29	2912.77	5020.86	1502.61	2492.2	3621.35	2944.54	854.43	1715.13	15130.14	6006.78
108	4453.36	2878.66	4955.28	1485.98	2465.0	3566.7	2897.46	844.68	1705.57	15010.74	5943.7
109	4385.72	2847.47	4932.07	1467.83	2427.58	3519.12	2851.82	831.73	1678.02	14855.64	5880.73
110	4318.87	2797.22	4851.2	1451.42	2400.92	3465.81	2808.88	821.77	1654.41	14652.79	5816.94
111	4276.32	2771.56	4826.44	1443.57	2387.13	3440.83	2793.46	819.58	1642.85	14560.11	5817.91
112	4260.61	2760.98	4819.45	1444.75	2380.91	3452.97	2821.71	826.22	1658.3	14599.96	5885.66
113	4283.55	2780.62	4874.39	1454.1	2421.83	3530.7	2883.11	860.39	1693.6	14703.67	6066.39
114	4414.38	2879.89	5026.37	1464.44	2486.63	3646.95	3019.1	896.19	1756.35	14899.08	6367.63
115	4437.59	2869.23	5014.14	1460.58	2507.54	3646.6	3023.53	916.99	1759.93	14835.19	6400.35
116	4456.41	2860.54	5004.36	1476.42	2508.73	3649.49	3033.79	924.91	1771.21	14867.81	6389.62
117	4435.72	2829.01	4953.02	1476.62	2479.91	3622.69	3020.82	910.1	1750.9	14782.85	6358.23
118	4358.98	2746.81	4826.49	1468.61	2413.13	3530.62	2952.44	890.84	1715.57	14532.8	6213.43
119	4278.05	2673.11	4721.78	1458.84	2355.03	3444.06	2881.09	865.55	1673.77	14310.97	6042.6
120	4194.0	2610.92	4634.43	1461.45	2291.24	3365.95	2806.44	836.87	1625.81	14042.38	5862.0
121	4134.51	2565.75	4581.3	1466.37	2239.75	3319.06	2761.31	816.44	1582.37	13738.26	5713.5
122	4047.69	2516.41	4516.56	1455.8	2202.82	3257.85	2705.17	795.71	1547.68	13388.96	5555.65
123	4022.62	2507.47	4472.27	1453.77	2190.05	3236.12	2682.98	790.08	1525.88	13217.28	5487.18
124	4023.1	2513.24	4502.17	1461.85	2198.02	3243.31	2685.87	792.02	1521.01	13162.44	5485.34
125	4083.73	2552.29	4566.53	1481.81	2229.51	3298.64	2725.82	802.43	1539.24	13306.19	5560.66
126	4145.05	2598.63	4634.92	1502.47	2261.18	3352.32	2769.47	822.56	1568.11	13465.27	5641.47
127	4286.86	2683.62	4790.08	1536.31	2346.04	3469.44	2852.52	850.24	1620.66	13882.24	5830.27
128	4430.42	2784.95	4944.11	1568.07	2424.6	3578.35	2938.67	878.35	1681.5	14317.58	6021.54
129	4446.2	2811.17	4995.22	1566.08	2467.15	3620.4	2973.47	889.49	1696.42	14473.2	6087.05
130	4438.83	2826.73	5000.49	1562.17	2476.91	3639.56	2983.3	892.25	1706.5	14598.67	6119.04
131	4386.57	2812.24	4966.4	1531.46	2462.07	3608.26	2945.45	884.2	1704.2	14575.45	6037.1
132	4305.08	2769.02	4889.77	1519.96	2422.27	3548.72	2893.64	873.12	1687.84	14467.9	5942.48
133	4202.56	2705.77	4788.79	1489.86	2375.47	3478.53	2840.12	837.16	1655.06	14284.06	5831.13
134	4127.12	2648.56	4644.85	1459.84	2320.97	3416.14	2770.63	835.67	1622.87	14061.61	5722.75
135	4030.1	2593.63	4542.42	1427.67	2287.83	3359.92	2714.51	824.47	1592.01	13811.68	5656.98
136	4033.96	2613.22	4600.01	1433.48	2300.44	3394.52	2763.48	820.51	1610.68	13882.03	5743.73
137	4180.59	2724.51	4783.71	1472.04	2377.76	3549.75	2906.24	861.22	1680.76	14301.01	6048.2
138	4433.58	2889.97	5048.76	1505.55	2525.3	3745.38	3088.15	927.63	1779.54	14912.11	6478.98
