param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
115	3949.55	2550.16	4437.19	1307.49	2211.25	3225.3	2679.95	807.41	1563.94	13209.22	5677.68
116	3974.48	2548.92	4438.85	1323.91	2216.85	3234.72	2694.45	815.6	1576.9	13267.71	5681.71
117	3963.56	2526.78	4402.84	1326.28	2196.07	3217.2	2687.69	804.45	1562.5	13218.27	5664.26
118	3900.95	2459.36	4299.12	1319.95	2141.28	3141.72	2631.71	788.68	1533.62	13014.35	5545.72
119	3840.16	2402.32	4218.91	1314.04	2096.27	3074.75	2576.65	768.85	1501.44	12851.51	5412.92
120	3778.58	2355.92	4154.92	1319.0	2047.43	3016.11	2520.02	746.53	1464.86	12656.04	5274.5
121	3735.53	2322.47	4117.36	1325.25	2007.88	2981.95	2486.65	730.72	1431.34	12425.28	5160.2
122	3660.87	2279.84	4060.84	1315.48	1975.93	2929.18	2438.39	713.07	1401.54	12126.82	5025.74
123	3641.28	2273.17	4025.42	1314.2	1965.94	2912.07	2420.77	708.62	1383.97	11988.74	4970.7
124	3644.92	2279.99	4053.48	1322.03	1974.12	2920.44	2425.24	710.79	1381.19	11954.29	4973.64
125	3703.98	2317.95	4115.99	1341.72	2004.55	2972.89	2464.02	720.97	1399.74	12103.24	5048.22
126	3759.14	2359.08	4177.16	1360.38	2032.93	3020.6	2502.96	738.4	1425.33	12249.75	5121.15
127	3886.58	2435.82	4316.04	1392.0	2108.11	3125.08	2578.17	763.07	1472.74	12628.82	5291.29
128	4014.58	2525.5	4453.07	1421.58	2177.64	3222.1	2655.38	787.94	1526.65	13020.05	5462.23
129	4019.63	2542.1	4487.0	1417.09	2208.87	3250.87	2679.01	795.75	1535.88	13121.79	5505.37
130	4004.78	2549.41	4482.25	1410.73	2212.63	3260.13	2681.51	796.49	1540.81	13196.03	5519.77
131	3948.38	2529.05	4440.35	1380.65	2193.86	3224.36	2641.75	787.52	1533.79	13132.44	5433.88
132	3867.82	2484.96	4363.28	1366.45	2154.46	3165.24	2590.44	776.03	1515.14	12999.1	5337.49
133	3771.24	2425.17	4267.51	1337.35	2109.95	3098.34	2538.6	744.24	1483.45	12807.31	5229.17
134	3697.15	2370.44	4136.34	1308.36	2059.12	3037.97	2473.63	740.94	1452.29	12583.96	5123.43
135	3604.35	2317.04	4038.56	1277.29	2025.52	2982.05	2419.14	729.47	1421.88	12334.98	5051.72
136	3609.72	2334.61	4088.43	1282.87	2037.01	3012.28	2461.02	726.58	1438.16	12400.46	5126.41
137	3744.34	2435.11	4254.21	1319.52	2107.53	3150.64	2587.63	762.58	1501.3	12791.91	5396.52
138	3968.7	2581.54	4489.15	1352.65	2236.99	3323.78	2747.78	820.15	1588.86	13348.34	5773.57
139	3987.32	2573.06	4480.44	1335.32	2208.92	3305.07	2758.22	824.28	1596.86	13401.31	5803.84
140	3989.35	2552.58	4452.65	1359.8	2208.86	3283.29	2746.93	818.12	1591.36	13399.13	5775.4
141	4012.85	2548.19	4443.9	1372.02	2191.65	3283.92	2749.12	820.82	1590.88	13434.68	5770.15
142	3977.25	2501.23	4377.55	1365.47	2160.24	3242.24	2718.72	801.7	1575.22	13345.48	5690.23
143	3881.76	2426.69	4260.09	1351.19	2096.72	3165.5	2646.81	779.3	1533.54	13137.95	5534.82
144	3787.45	2359.77	4162.97	1344.45	2036.7	3090.79	2581.41	756.4	1492.38	12913.59	5373.67
145	3722.23	2320.14	4117.24	1346.48	2009.45	3046.32	2525.12	747.52	1453.88	12667.06	5242.82
146	3688.23	2298.74	4087.24	1324.41	1998.57	3029.85	2496.56	733.6	1439.97	12492.32	5140.6
147	3713.08	2308.92	4112.07	1324.45	2012.22	3042.36	2505.39	735.37	1430.47	12463.01	5136.34
148	3742.7	2326.18	4150.2	1336.5	2023.22	3070.82	2525.17	741.41	1433.93	12499.32	5160.03
149	3803.2	2366.39	4211.21	1355.18	2043.01	3121.8	2572.28	757.01	1455.66	12661.83	5241.01
150	3869.11	2414.03	4295.87	1378.53	2079.59	3169.9	2616.16	774.09	1481.96	12832.38	5322.4
151	3961.82	2480.0	4400.52	1403.07	2137.94	3251.68	2678.24	795.13	1516.95	13081.43	5442.73
152	4004.13	2524.36	4478.23	1413.2	2196.73	3313.74	2755.92	808.29	1542.16	13258.2	5503.92
