param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
167	2231.36	1381.7	2569.44	771.38	1367.42	2024.69	1676.21	508.93	925.29	7987.94	3314.55
168	2102.38	1292.64	2409.23	754.92	1309.46	1914.82	1523.63	462.7	857.41	7521.96	3065.05
169	2025.9	1233.47	2310.25	744.51	1275.34	1842.35	1466.52	436.2	805.62	7135.13	2881.13
170	1986.09	1197.78	2244.55	740.4	1240.37	1796.37	1402.27	427.01	776.82	6919.63	2784.82
171	1959.96	1190.88	2209.22	732.9	1238.31	1773.13	1376.5	420.23	758.31	6738.25	2716.81
172	1951.25	1190.88	2204.62	729.27	1231.18	1775.07	1367.54	419.51	746.81	6686.7	2687.77
173	1978.35	1215.93	2265.36	732.66	1239.04	1798.91	1381.7	427.13	755.77	6736.55	2722.5
174	2069.22	1316.12	2434.16	749.35	1309.34	1892.32	1455.75	458.59	800.9	7030.83	2864.43
175	2252.29	1462.89	2698.9	775.97	1442.56	2063.53	1575.54	500.82	899.15	7575.45	3139.22
176	2396.16	1535.01	2805.75	789.89	1507.9	2158.16	1652.5	523.57	978.04	8152.13	3295.07
177	2415.28	1568.89	2793.65	784.81	1491.69	2150.29	1662.54	515.58	981.67	8462.26	3292.65
178	2445.77	1614.99	2828.38	780.45	1498.46	2147.51	1653.95	518.12	998.73	8729.18	3285.51
179	2464.65	1666.53	2835.15	777.91	1505.84	2159.37	1678.15	517.28	1006.36	8870.87	3302.7
180	2468.88	1678.51	2813.86	770.04	1491.93	2153.07	1689.28	507.6	1003.33	8925.81	3286.84
181	2461.87	1679.6	2794.74	768.96	1469.42	2150.29	1669.92	512.43	1002.12	8932.95	3312.25
182	2466.22	1672.7	2743.31	762.42	1467.73	2161.54	1619.46	510.14	992.68	8926.9	3328.47
183	2457.15	1659.88	2711.37	758.79	1452.97	2161.06	1645.48	499.85	988.93	8857.56	3311.29
184	2435.49	1658.43	2698.9	768.96	1445.83	2173.04	1690.01	510.98	991.47	8884.55	3364.28
185	2482.44	1705.62	2725.65	780.81	1488.54	2257.26	1752.56	547.16	1046.04	9021.15	3552.56
186	2589.4	1784.14	2851.36	793.16	1542.39	2361.8	1833.15	579.59	1091.42	9166.72	3802.79
187	2576.45	1767.08	2845.07	790.61	1528.23	2349.94	1851.54	582.37	1092.27	8973.48	3833.64
188	2536.28	1735.02	2794.86	776.34	1502.82	2292.83	1878.65	550.19	1068.07	8801.66	3751.24
189	2477.72	1674.64	2681.24	767.87	1456.96	2210.79	1762.36	536.64	1034.07	8552.88	3635.93
190	2388.3	1579.66	2539.18	720.07	1379.16	2083.14	1667.62	501.06	972.96	8241.07	3428.41
191	2242.49	1463.01	2362.65	694.78	1246.06	1937.21	1543.48	440.56	889.35	7726.94	3105.22
192	2088.1	1351.57	2220.11	698.17	1151.56	1809.43	1436.63	396.64	800.17	7195.02	2835.03
193	2012.96	1290.22	2173.76	685.34	1073.03	1724.13	1330.52	376.55	747.54	6719.74	2634.65
194	1955.36	1245.7	2119.19	679.54	1036.12	1682.26	1305.59	368.08	723.34	6433.93	2519.22
